,Компания,Модель,Комплектация,Тип кузова,Трансмиссия,Штат продажи,Состояние,Пробег,Цвет,Интерьер,Продавец,Оценочная стоимость,Цена продажи,День продажи,Месяц продажи,Год продажи
11274,Rolls-Royce,Ghost,Base,Sedan,automatic,wi,4.0,8440.0,gray,beige,toyota financial services,157000.0,149800.0,Wed,Dec,2014.0
112376,Rolls-Royce,Ghost,Base,Sedan,automatic,fl,45.0,14316.0,black,beige,braman motorcars,154000.0,169500.0,Wed,Jan,2015.0
176772,Rolls-Royce,Ghost,Base,Sedan,automatic,ca,42.0,12912.0,black,black,financial services remarketing (bmw int),166000.0,163000.0,Wed,Jan,2015.0
176788,Rolls-Royce,Ghost,Base,Sedan,automatic,ca,4.0,11841.0,gray,off-white,financial services remarketing (bmw int),160000.0,149000.0,Thu,Feb,2015.0
207209,Rolls-Royce,Ghost,Base,Sedan,automatic,ca,45.0,10900.0,gray,beige,executive car leasing company,151000.0,141500.0,Thu,Feb,2015.0
277369,Rolls-Royce,Ghost,Base,Sedan,automatic,ca,43.0,12601.0,gray,gray,ferrari of orange county,162000.0,143000.0,Thu,Feb,2015.0
393990,Rolls-Royce,Ghost,Base,Sedan,automatic,ca,42.0,9134.0,blue,beige,financial services remarketing (bmw int),151000.0,147000.0,Thu,May,2015.0
393994,Rolls-Royce,Ghost,Base,Sedan,automatic,ca,47.0,22761.0,black,beige,financial services remarketing (bmw int),142000.0,155000.0,Thu,May,2015.0
412836,Rolls-Royce,Ghost,Base,Sedan,automatic,ca,44.0,22258.0,gray,tan,the auto gallery,142000.0,146000.0,Thu,May,2015.0
456885,Rolls-Royce,Ghost,Base,sedan,automatic,ca,37.0,15450.0,black,black,financial services remarketing (bmw int),146000.0,150000.0,Thu,Jun,2015.0
456887,Rolls-Royce,Ghost,Base,sedan,automatic,ca,43.0,12268.0,gray,beige,financial services remarketing (bmw int),149000.0,147000.0,Thu,Jun,2015.0
464680,Rolls-Royce,Ghost,Base,sedan,automatic,fl,38.0,23699.0,white,red,scottsdale sports car group,141000.0,140000.0,Tue,Jun,2015.0
497523,Rolls-Royce,Ghost,Base,sedan,automatic,ca,44.0,5215.0,white,tan,financial services remarketing (bmw int),166000.0,167000.0,Thu,Jun,2015.0
504330,Rolls-Royce,Ghost,Base,sedan,automatic,fl,42.0,7852.0,white,beige,flag/landrover southpointe,178000.0,171500.0,Wed,Jun,2015.0
515850,Rolls-Royce,Ghost,EWB,sedan,automatic,ca,36.0,11832.0,white,black,bentley scottsdale,164000.0,169000.0,Thu,Jun,2015.0
